Specimen,Field,FPWerneck,Sp,City,State,Lat,Lon,Maturiry,SVL,BM,BTAL,TAL,HL,HH,HW,TRL,INF,SG,PG,FL_L,FL_R,TL_L,TL_R,FTL_L,FTL_R,HUL_L,HUL_R,FAL_L,FAL_R,SFT_L,SFT_R,SFF_L,SFF_R
INPA-H031308,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,45.23,NA,10.62,NA,7.23,3.77,5.98,26.44,12.78,6.41,6.31,4.97,4.77,3.48,3.46,7.22,7.87,4.26,4.14,7.35,7.11,NA,NA,13,13
INPA-H031309,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,42.46,NA,2.35,NA,6.94,3.80,5.53,24.47,11.66,5.26,6.32,4.83,4.42,3.45,3.53,7.04,7.11,3.40,3.62,6.95,6.57,16,17,13,14
INPA-H031309,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,41.92,NA,2.42,NA,7.23,3.82,5.39,24.40,11.47,5.10,6.11,4.38,4.63,3.19,3.45,7.19,6.85,3.74,3.23,6.82,6.94,16,17,13,14
INPA-H031310,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,41.45,NA,4.72,NA,7.05,3.55,4.86,22.96,12.74,5.13,5.30,4.51,4.41,3.63,3.60,7.16,7.19,3.39,3.34,6.46,6.65,NA,NA,13,13
INPA-H031310,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,42.40,NA,5.08,NA,7.31,3.33,4.97,23.71,13.13,5.10,5.46,4.86,4.24,3.92,3.71,7.10,6.63,3.36,3.58,6.48,6.33,NA,NA,13,13
INPA-H031311,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,42.51,NA,1.14,NA,6.76,3.78,4.94,25.76,11.87,5.67,5.80,4.99,4.09,3.21,3.27,6.40,7.01,3.44,3.42,6.96,6.51,17,17,13,14
INPA-H031311,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,44.23,NA,1.09,NA,6.72,3.85,5.25,27.82,11.74,6.17,6.27,4.56,4.11,3.54,3.51,6.98,7.19,3.63,3.40,7.13,6.33,17,17,13,14
INPA-H031312,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,36.55,NA,8.40,NA,6.44,3.76,4.57,19.69,11.48,4.41,4.96,3.80,3.91,2.75,2.75,6.03,6.08,3.15,3.05,5.89,5.45,17,17,13,13
INPA-H031312,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,34.84,NA,7.51,NA,5.92,3.50,4.35,19.20,10.96,4.55,5.00,3.94,3.79,3.02,3.03,6.04,6.71,3.12,3.34,6.07,4.87,17,17,13,13
INPA-H040754,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,38.04,NA,16.63,23.60,6.09,3.75,4.89,19.15,12.40,NA,NA,4.05,3.99,2.97,3.30,6.58,6.86,2.91,2.99,6.09,5.85,17,17,13,14
INPA-H040754,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,38.77,NA,16.85,25.85,5.91,3.46,4.92,20.98,13.15,NA,NA,4.15,4.17,2.91,3.52,6.66,6.73,3.17,2.91,6.24,6.02,17,17,13,14
INPA-H040772,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,42.15,NA,11.97,NA,7.35,3.80,5.64,23.03,12.97,4.76,5.74,4.93,4.60,3.10,3.16,7.34,7.12,3.40,3.46,6.85,6.67,17,17,12,12
INPA-H040772,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,41.92,NA,12.65,NA,7.89,3.70,5.71,23.25,13.16,4.94,5.59,4.93,4.25,3.41,3.42,7.53,6.60,3.61,3.46,6.87,6.31,17,17,12,12
INPA-H041179,NA,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,41.24,NA,14.45,41.22,6.94,3.75,5.39,22.68,12.02,5.12,6.02,4.35,4.46,3.03,2.96,7.26,6.95,3.15,3.31,6.51,6.79,17,17,14,14
INPA-H041179,NA,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,41.58,NA,14.51,42.55,7.30,3.76,5.23,23.46,12.05,5.49,6.63,4.63,4.11,3.32,2.64,6.63,6.52,3.41,3.23,6.34,6.63,17,17,14,14
