"","(Intercept)","distribution","FAL_L","FL_L","FTL_L","HH","INF","s(temp, by = distribution)","SFT_L","substrate","SVL","TAL","TL_L","TRL","df","logLik","AICc","delta","weight"
"896",-0.387360322628482,"+",0.810246538516077,-0.247541224883762,-0.504974216924518,-0.40131582047691,0.0289025322258997,"+",NA,"+",0.0615999759512143,NA,NA,NA,15,-233.393535242199,499.903953601282,7.21706570143272,0.000723032309421033
"3680",-0.237424779628108,"+",0.774288476833571,-0.160484457210436,-0.426409375213758,-0.344240201619651,NA,"+",NA,NA,0.0597838763779189,-0.00440428346877706,-0.0707163350546925,NA,15,-233.394817460826,499.906518038536,7.21963013868674,0.000722105818035155
"6868",-0.137989567488767,"+",0.537446046610574,NA,NA,-0.699378484419414,NA,"+",0.00140548406469541,NA,0.0581582909450432,NA,-0.143402297658574,0.212628628101876,14,-234.613873481333,499.93742438202,7.25053648217124,0.000711032770022559
"1780",-0.554882753503813,"+",0.487617042345314,NA,NA,-0.478008317150184,-0.0639739216655397,"+",0.0140744520052854,NA,0.0634215782562688,-0.0087441943445343,NA,NA,14,-234.61779788104,499.945273181435,7.25838528158579,0.000708247861349588
"3796",-0.258366965110144,"+",0.530276680814656,NA,NA,-0.405859835885996,NA,"+",-0.0067816842346153,NA,0.0641515809605072,-0.00824616775478585,-0.0985615997057013,NA,14,-234.618034191226,499.945745801807,7.25885790195821,0.000708080514939199
"4930",0.0413306282661142,"+",NA,NA,NA,NA,NA,"+",NA,"+",0.0513298339706554,NA,NA,0.0552256886891261,11,-238.138278389863,499.947442855676,7.26055495582659,0.000707479944386876
"7116",-1.82907985072042,"+",0.866611106585816,NA,-0.646519167297564,NA,NA,"+",0.0954196836309699,"+",0.0582099890360529,NA,-0.149966141061501,0.00999934210267711,15,-233.41536454445,499.947612205783,7.26072430593365,0.00070742004102091
"2940",-0.327895222582653,"+",0.879655398858268,NA,-0.599920609881697,-0.259386419968843,0.030188707399486,"+",NA,"+",0.0597601892478768,NA,-0.178635090620916,NA,15,-233.415941492897,499.948766102676,7.26187820282723,0.000707012013843655
"6992",-0.427056232058552,"+",0.9650018853701,-0.227469829164402,-0.503904566069411,NA,NA,"+",NA,"+",0.0638685744782371,NA,-0.255951543735377,0.00882889602286825,15,-233.418981607549,499.954846331982,7.26795843213301,0.000704865880159763
"4806",-2.64261669052694,"+",NA,-0.228741752464355,NA,NA,NA,"+",0.171824778565474,NA,0.0470385936368003,NA,NA,0.0668433771118181,12,-236.988579856558,499.964420859613,7.27753295976447,0.000701499565384259
"1664",-0.23772099892661,"+",0.741352489767709,-0.172190883201083,-0.41879949415607,-0.399405105106092,-0.00933474376801846,"+",NA,NA,0.0598228696019096,-0.00482507429009846,NA,NA,15,-233.430924170577,499.978731458038,7.29184355818893,0.000696498041137052
"2758",-3.1490868689739,"+",NA,-0.296785445501713,NA,NA,NA,"+",0.195141087443474,NA,0.0498985969716422,NA,0.110498920177809,NA,12,-236.997792961068,499.982847068632,7.29595916878327,0.000695066257449808
"3804",-1.11225426709481,"+",0.738587575980911,NA,-0.540279357190882,-0.290997491819693,NA,"+",0.0585695625647096,NA,0.0565138166848344,-0.00381850242567314,-0.0325309543519745,NA,15,-233.434303024823,499.985489166529,7.29860126668029,0.000694148647138775
"3928",-0.630131545750762,"+",0.715282225404469,-0.396988327634553,NA,-0.332492799210374,NA,"+",NA,"+",0.0700482114211266,-0.00695168025658539,-0.13191328133064,NA,15,-233.438406158604,499.993695434092,7.30680753424269,0.000691306297633408
